id_amat;nome;id_arpa;inizio_operativita;fine_operativita;longitudine;latitudine
1;p.le Abbiategrasso;126;1900-01-01;2017-08-31;9.18218994140625;45.432300567627
2;via Pascal *;100;1900-01-01;2099-12-31;9.23478031158447;45.4740982055664
3;viale Liguria;107;1900-01-01;2099-12-31;9.16944026947021;45.4441986083984
4;viale Marche;2;1900-01-01;2099-12-31;9.19083976745605;45.4962997436523
5;Parco Lambro;124;1900-01-01;2017-08-31;9.24730014801025;45.4995994567871
6;via Senato *;125;1900-01-01;2099-12-31;9.19791984558105;45.4705009460449
7;Verziere;85;1900-01-01;2099-12-31;9.19534015655518;45.4635009765625
8;p.le Zavattari;7;1900-01-01;2017-08-31;9.141770362854;45.4761009216309
9;via Juvara;7;1900-01-01;2007-06-11;9.22045040130615;45.4734992980957
